area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1351,2.0,2.0,74.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSndsod,1660,3.0,2.0,116.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,SVyam N,1525,3.0,1.0,100.0
Built-up  Area,Ready To Move,Infantry Road,4 BHK,,2170,3.0,2.0,265.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3.0,2.0,93.01
Super built-up  Area,Ready To Move,Vadarpalya,2 BHK,VMianri,1141,2.0,0.0,62.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1230,2.0,2.0,59.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Priew P,2023,4.0,2.0,130.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1145,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,NDclenn,1274,2.0,2.0,70.0
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6.0,,370.0
Super built-up  Area,Ready To Move,Kothannur,3 BHK,,1215,2.0,3.0,48.6
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630,6.0,1.0,195.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,34.98
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,,1200,2.0,0.0,95.0
Built-up  Area,Ready To Move,Venkatapura,3 Bedroom,,5720,3.0,0.0,350.0
Built-up  Area,Ready To Move,Kothanur,1 Bedroom,,627,1.0,1.0,30.0
Super built-up  Area,18-Apr,Kodigehalli,2 BHK,,1086,2.0,1.0,33.66
Super built-up  Area,Ready To Move,Nagavara,3 BHK,Vancyat,2400,3.0,3.0,251.0
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1185,2.0,1.0,47.39
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1590,2.0,1.0,54.0
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,,1200,1.0,0.0,53.0
Super built-up  Area,Ready To Move,Shankarapuram,2 BHK,,925,2.0,1.0,100.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,,1120,2.0,1.0,60.0
Built-up  Area,18-Dec,Electronic City,2 BHK,,1125,2.0,1.0,32.5
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Arhid O,1095,2.0,2.0,32.0
Super built-up  Area,18-May,Virat Nagar,2 BHK,,1110,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Ayaya A,1075,2.0,1.0,46.76
Super built-up  Area,19-Dec,Anjanapura,3 BHK,DSapeto,1347,2.0,1.0,37.72
Super built-up  Area,18-Dec,Kengeri,2 BHK,,927,2.0,2.0,37.0
Super built-up  Area,Ready To Move,Yeshwanthpur Industrial Suburb,3 BHK,,2100,3.0,2.0,240.0
Super built-up  Area,18-Dec,Hosa Road,2 BHK,Mahesr ,1161,2.0,1.0,48.75
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1749,3.0,2.0,112.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1880,3.0,2.0,110.0
Built-up  Area,Ready To Move,7th Block Jayanagar,5 Bedroom,,3000,3.0,1.0,528.0
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,,920,2.0,2.0,60.0
Plot  Area,18-Dec,Chikka Tirupathi,4 Bedroom,Theanmp,3500,5.0,3.0,150.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1730,3.0,3.0,139.0
Built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.73
Built-up  Area,18-Dec,Huskur,2 BHK,,1125,2.0,1.0,32.49
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2.0,2.0,69.0
Super built-up  Area,18-Aug,Hongasandra,2 BHK,,1150,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1141,2.0,2.0,38.55
Built-up  Area,Ready To Move,Kallumantapa,2 BHK,SMncyy ,1050,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,BrardCo,1470,2.0,3.0,102.0
Super built-up  Area,19-Dec,Jalahalli,2 BHK,DSata S,1035,2.0,1.0,31.05
Super built-up  Area,19-May,Thanisandra,3 BHK,G conTh,1795,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,GCiewty,1222,2.0,1.0,68.0
Built-up  Area,Ready To Move,Hulimavu,2 Bedroom,,1050,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1075,2.0,1.0,51.5
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2559,3.0,2.0,403.0
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,2400,4.0,1.0,228.0
Super built-up  Area,Ready To Move,Ankappa Layout,2 BHK,OadraCh,1105,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,,1936,4.0,2.0,126.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,1975,3.0,3.0,123.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1155,2.0,2.0,40.43
Plot  Area,17-Aug,KR Puram,5 Bedroom,,1200,5.0,1.0,125.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,,1190,2.0,2.0,50.0
Built-up  Area,20-Dec,Whitefield,2 BHK,,1173,2.0,1.0,60.0
Super built-up  Area,18-Dec,Hennur,3 BHK,Puveshe,1482,3.0,1.0,110.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,HRaniIb,1645,3.0,1.0,100.0
Super built-up  Area,Ready To Move,Hosur Road,1 BHK,SLiewce,460,1.0,1.0,21.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1984,4.0,1.0,146.0
Super built-up  Area,18-Jan,Vasanth nagar,4 BHK,Prian E,4750,6.0,1.0,1102.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARaveSa,1206,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795,2.0,1.0,32.54
Plot  Area,Ready To Move,Yelahanka New Town,4 Bedroom,,4000,2.0,1.0,899.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,SrncyRe,1485,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Soundarya Layout,2 BHK,,900,2.0,2.0,27.0
Super built-up  Area,18-Apr,Thanisandra,2 BHK,Bhmesy ,1056,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2.0,1.0,39.0
Super built-up  Area,Ready To Move,Kannur,3 BHK,,1200,2.0,1.0,55.0
Plot  Area,Ready To Move,Sanjay nagar,5 Bedroom,,1200,4.0,0.0,185.0
Super built-up  Area,19-Jun,Yelahanka,4 BHK,Vaaram ,3450 - 3472,,,173.0
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Omncy R,1710,3.0,0.0,60.0
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1140,2.0,2.0,50.66
Built-up  Area,Ready To Move,St. John's Road,2 BHK,,824,2.0,0.0,60.0
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,,1200,4.0,0.0,210.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2.0,1.0,34.5
Super built-up  Area,Ready To Move,Bellandur,5 BHK,,4239,5.0,2.0,423.0
Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,Leino C,3670,4.0,3.0,300.0
Plot  Area,Ready To Move,"Annapoorneshwari Layout, JP nagar 7th phase",3 Bedroom,,600,3.0,1.0,70.0
Super built-up  Area,18-May,Bommasandra,3 BHK,SSestth,1260,3.0,1.0,49.36
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,,1260,2.0,3.0,57.6
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,,1200,3.0,3.0,200.0
Built-up  Area,Ready To Move,Shampura,1 BHK,,375,2.0,0.0,26.0
Super built-up  Area,18-Mar,Hebbal,2 BHK,,1162,2.0,1.0,59.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrawnRa,883,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Soianal,2392,4.0,2.0,260.0
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220,3.0,1.0,56.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,ARncy R,1455,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1360,2.0,2.0,47.59
Super built-up  Area,Ready To Move,Channasandra,2 BHK,,1010,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Dhndsh ,1550,3.0,1.0,59.0
Super built-up  Area,17-Oct,Sarjapur  Road,3 BHK,Asuceis,1763.25,3.0,3.0,98.0
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SNbay G,1790,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,ShdhiSa,1584,3.0,2.0,101.0
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,GRhtiru,1220,3.0,2.0,56.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Madener,1025,2.0,2.0,50.0
Built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,,5000,4.0,0.0,375.0
Built-up  Area,Ready To Move,Allalasandra,2 BHK,Jaensa ,560,2.0,1.0,22.0
Super built-up  Area,Ready To Move,Glass Factory Layout,3 BHK,VMlet C,1450,3.0,3.0,65.0
Built-up  Area,Ready To Move,Jalahalli East,2 BHK,Srigmsw,1035,2.0,1.0,42.5
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,2265,3.0,3.0,159.0
Super built-up  Area,18-Jul,Electronic City,2 BHK,,1200,2.0,2.0,30.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1200,2.0,1.0,50.3
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,,2404,3.0,2.0,138.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Niareum,1226,2.0,2.0,52.71
Carpet  Area,Ready To Move,LB Shastri Nagar,2 BHK,CharkR ,1043,2.0,2.0,55.0
Super built-up  Area,21-Dec,Electronic City,2 BHK,KonteiT,1140,2.0,1.0,70.93
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570,3.0,3.0,64.5
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,,2070,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Hanumantha Nagar,2 BHK,,2400,2.0,3.0,125.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1260,2.0,1.0,60.0
Plot  Area,Ready To Move,Thyagaraja Nagar,5 Bedroom,,570,5.0,0.0,80.0
Plot  Area,Ready To Move,Ramagondanahalli,5 Bedroom,Adion A,9600,6.0,1.0,1800.0
Plot  Area,Ready To Move,Bettahalsoor,3 Bedroom,,1200,3.0,1.0,85.0
Super built-up  Area,Ready To Move,Balagere,1 BHK,Soresea,656,1.0,1.0,53.0
Super built-up  Area,18-Jun,Hosa Road,2 BHK,Sosisic,1369.1,2.0,1.0,98.0
Super built-up  Area,Ready To Move,Konena Agrahara,2 BHK,EsadeNS,1075,2.0,1.0,57.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,NCensun,1180,2.0,2.0,72.0
Super built-up  Area,20-Jan,Balagere,2 BHK,Soresea,1007,2.0,1.0,53.0
Super built-up  Area,18-Feb,Mysore Road,3 BHK,PrawnRa,1082,2.0,1.0,45.0
Plot  Area,Ready To Move,Gkvk Layout,3 Bedroom,,1200,4.0,2.0,180.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Ameur G,1856,3.0,3.0,106.0
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,,1260,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Belathur,2 BHK,,1081,2.0,1.0,39.0
Built-up  Area,Ready To Move,Nayandanahalli,3 BHK,Rarelt ,1350,2.0,3.0,68.0
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1453,2.0,2.0,73.0
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1165,2.0,1.0,30.29
Built-up  Area,Ready To Move,3rd Block Jayanagar,2 BHK,,1000,2.0,1.0,130.0
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,DSutyng,1135,2.0,2.0,68.0
Super built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,693,1.0,1.0,34.3
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Mancya ,1150,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1180,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gamesti,1405,3.0,2.0,58.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,Suashen,1620,3.0,2.0,62.0
Super built-up  Area,18-Jan,Hennur Road,2 BHK,Asadacy,1359,2.0,2.0,104.0
Super built-up  Area,19-Jul,Sarjapur  Road,1 BHK,Sasta S,580 - 650,1.0,0.0,17.835
Built-up  Area,Ready To Move,1st Phase JP Nagar,4 Bedroom,,1900,3.0,1.0,400.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2100,3.0,2.0,200.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coomee ,1219,2.0,1.0,61.26
Built-up  Area,Ready To Move,KR Puram,1 BHK,,714,1.0,1.0,28.0
Plot  Area,Ready To Move,Yelahanka,4 Bedroom,Aaire S,3206,5.0,,270.0
Super built-up  Area,Ready To Move,Channasandra,3 BHK,Unm 2El,1310,2.0,2.0,45.0
Super built-up  Area,18-Apr,Varthur,2 BHK,Muistry,1120,2.0,2.0,44.24
Super built-up  Area,19-Dec,Thanisandra main road,2 BHK,,1804,2.0,1.0,285.0
Built-up  Area,Ready To Move,Yelahanka,2 BHK,,845,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Attibele,2 BHK,DSvar S,1174,2.0,1.0,29.35
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Rabow R,1095,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608,3.0,3.0,54.51
Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,ViistLa,1235,2.0,1.0,49.3
Plot  Area,Ready To Move,Malleshpalya,3 Bedroom,,1200,3.0,1.0,149.0
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,Soazak ,1703,3.0,2.0,126.0
Super built-up  Area,Ready To Move,Raghavendra Nagar,3 BHK,Keony H,2431,3.0,1.0,100.0
Super built-up  Area,Ready To Move,GD Layout,3 BHK,,1330,2.0,2.0,68.0
Built-up  Area,Ready To Move,Gottigere,2 BHK,Skvasa ,945,2.0,0.0,45.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Atarebe,1430,2.0,2.0,78.0
Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,,1165,2.0,1.0,33.64
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Gilleon,1820,3.0,3.0,77.0
Plot  Area,18-Apr,Basaveswarnagar,6 Bedroom,,2400,4.0,2.0,420.0
Super built-up  Area,Ready To Move,Kaveri Nagar,1 BHK,,750,1.0,2.0,25.0
Plot  Area,Ready To Move,Kadugondanahalli,4 Bedroom,,915,4.0,1.0,54.9
Super built-up  Area,18-Jul,Hosa Road,2 BHK,Mahesr ,1161,2.0,1.0,55.15
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,700,1.0,0.0,38.0
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1335,2.0,2.0,73.43
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4428,4.0,2.0,255.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shiaa S,1550,2.0,2.0,82.0
Plot  Area,Ready To Move,Kothanur,4 Bedroom,Fencyes,3401,5.0,,230.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Gasom B,1204,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1230,3.0,3.0,60.0
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Srncya ,1500,2.0,2.0,30.0
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,Almid P,1293,2.0,2.0,75.0
Built-up  Area,18-Dec,Electronic City,1 BHK,,1090,2.0,1.0,31.48
Built-up  Area,Ready To Move,Bellandur,3 BHK,Srthaa ,1450,3.0,1.0,68.0
Super built-up  Area,18-Jun,Yarandahalli,2 BHK,,1015,2.0,1.0,40.1
Super built-up  Area,19-Dec,Marathahalli,2 BHK,PrensKe,1146,2.0,1.0,69.0
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,Saitya ,1760,3.0,2.0,185.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.5
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1728,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,1160,2.0,2.0,40.61
Built-up  Area,Ready To Move,Koramangala,2 BHK,HawerMa,1350,2.0,2.0,103.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2524,5.0,2.0,190.0
Super built-up  Area,18-Apr,Hormavu,3 BHK,,1453,2.0,2.0,43.58
Super built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3.0,2.0,95.0
Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,,1200,4.0,1.0,95.0
Super built-up  Area,Ready To Move,KEB Colony,3 BHK,,1500,3.0,1.0,90.0
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,2.0,1.0,32.0
Plot  Area,Ready To Move,BEML Layout,3 Bedroom,,1200,5.0,,325.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,943,2.0,2.0,49.5
Plot  Area,Ready To Move,Meenakshi Layout,8 Bedroom,,1200,7.0,0.0,220.0
Super built-up  Area,Ready To Move,Nagondanahalli,2 BHK,PrestSe,1178,2.0,3.0,47.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town KHB Apartment,3 BHK,,1100,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Marsur,2 BHK,Asara S,497,1.0,1.0,25.0
Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,ALtonea,1025,2.0,1.0,39.98
Super built-up  Area,Ready To Move,Hennur,3 BHK,,1340,3.0,2.0,54.24
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,ItRRVna,1000,2.0,1.0,41.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2065,4.0,1.0,210.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,SLiand ,1431,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,725,2.0,1.0,30.0
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1712,3.0,3.0,82.0
Plot  Area,Ready To Move,Indira Nagar,6 Bedroom,,2480,4.0,1.0,750.0
Super built-up  Area,18-Aug,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,80.0
Super built-up  Area,20-Aug,Sarjapur  Road,1 BHK,Ahciace,475,1.0,1.0,26.0
Built-up  Area,Ready To Move,Yelahanka,3 BHK,BKideor,1650,3.0,3.0,105.0
Built-up  Area,Ready To Move,Singasandra,2 BHK,,1375,2.0,3.0,58.0
Built-up  Area,Ready To Move,Vishwapriya Layout,5 Bedroom,,2800,5.0,3.0,130.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,,3584,4.0,,199.0
Super built-up  Area,19-Dec,Yelahanka,3 BHK,Goues A,1721,3.0,3.0,80.86
Built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,MaeamSu,1280,2.0,2.0,80.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,46.0
Super built-up  Area,19-Sep,Chandapura,1 BHK,SuVue S,520,1.0,1.0,14.04
Built-up  Area,Ready To Move,Grihalakshmi Layout,5 Bedroom,,24,2.0,2.0,150.0
Plot  Area,Ready To Move,Hulimavu,4 Bedroom,,800,4.0,,110.0
Built-up  Area,Ready To Move,Ulsoor,3 BHK,,1340,3.0,0.0,90.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1077,2.0,1.0,37.7
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,SGncy R,2040,3.0,,200.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1027,2.0,1.0,44.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,SoechHa,1409,2.0,2.0,95.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1584.01,3.0,1.0,104.0
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Gancy P,1067,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3.0,3.0,60.98
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,,1200,4.0,0.0,220.0
Plot  Area,Ready To Move,CV Raman Nagar,4 Bedroom,,1100,4.0,2.0,220.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,26.25
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2.0,1.0,38.0
Plot  Area,Ready To Move,9th Phase JP Nagar,8 Bedroom,,1200,8.0,,135.0
Super built-up  Area,22-Jan,Vajarahalli,3 BHK,,1475,3.0,1.0,80.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1236,2.0,2.0,61.33
Plot  Area,Ready To Move,KR Puram,5 Bedroom,Henue A,4166,5.0,,560.0
Super built-up  Area,20-Dec,Yeshwanthpur,4 BHK,Detat H,1950,4.0,0.0,130.0
Built-up  Area,Ready To Move,Magadi Road,2 BHK,DSellil,1345,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5.0,2.0,230.0
Built-up  Area,Ready To Move,Bhoganhalli,2 BHK,Tenceen,1125,2.0,1.0,54.0
Plot  Area,Immediate Possession,Anekal,,Vaensnd,1453,,,16.5
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,1350,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,VHinoel,1113,2.0,1.0,44.5
Super built-up  Area,Ready To Move,Indira Nagar,4 BHK,,2800,4.0,3.0,365.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1024,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,2050,3.0,,120.0
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Vitat H,866,2.0,2.0,32.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,DStus S,1050,2.0,2.0,33.1
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2503,3.0,3.0,138.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,,900,2.0,1.0,41.0
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2.0,2.0,48.45
Super built-up  Area,18-Jun,JP Nagar,2 BHK,,1060,2.0,2.0,33.95
Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,712 - 938,1.0,0.0,35.475
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1084,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,NianaBr,1291,2.0,3.0,32.0
Super built-up  Area,20-Jan,Balagere,2 BHK,Soresea,1007,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Hormavu,3 BHK,,1550,2.0,2.0,60.0
Built-up  Area,18-Jun,Whitefield,4 Bedroom,,4827,4.0,3.0,400.0
Built-up  Area,Ready To Move,JP Nagar,4 BHK,Arentra,3000,3.0,2.0,150.0
Built-up  Area,Ready To Move,Yeshwanthpur,5 Bedroom,,850,4.0,2.0,90.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1205,2.0,1.0,40.0
Plot  Area,Ready To Move, Devarachikkanahalli,3 Bedroom,,1200,3.0,1.0,160.0
Plot  Area,18-May,Kasavanhalli,4 Bedroom,,4408,4.0,2.0,344.0
Built-up  Area,Ready To Move,Doddakannelli,3 BHK,Sueesti,1477,2.0,2.0,80.0
Plot  Area,Ready To Move,New Thippasandra,3 Bedroom,,750,3.0,2.0,155.0
Built-up  Area,Ready To Move,Kashi Nagar,2 BHK,Adarkya,1190,2.0,2.0,42.0
Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012,2.0,1.0,54.59
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,,1856,3.0,1.0,120.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1880,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1195,2.0,1.0,35.84
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Lallere,1635,2.0,2.0,85.0
Built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,Sariana,1507,3.0,1.0,80.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1128,2.0,2.0,40.0
Super built-up  Area,18-Apr,Banashankari Stage III,3 BHK,,1500,2.0,2.0,100.0
Plot  Area,Ready To Move,Hebbal Kempapura,4 Bedroom,,1200,4.0,2.0,215.0
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3.0,2.0,86.58
Plot  Area,Ready To Move,Neeladri Nagar,5 Bedroom,Coleyli,4000,5.0,2.0,425.0
Built-up  Area,Ready To Move,JP Nagar,3 BHK,,84.53Sq. Meter,3.0,1.0,69.34
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Ocrda M,1158,2.0,2.0,67.0
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soacyst,5000,4.0,3.0,465.0
Carpet  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,460,1.0,1.0,13.0
Super built-up  Area,Ready To Move,Viswajit Layout,2 BHK,,1100,2.0,3.0,61.0
Super built-up  Area,18-Aug,Kanakpura Road,3 BHK,,1401,3.0,2.0,69.0
Carpet  Area,Ready To Move,BCC Layout,2 BHK,Mae 1Ar,1050,2.0,3.0,40.0
Plot  Area,Ready To Move,Devara Jeevanahalli,7 Bedroom,,1300,4.0,1.0,52.0
Built-up  Area,Ready To Move,Hennur Road,2 BHK,DSeldpr,1297,2.0,1.0,49.9
Built-up  Area,18-Jun,Anathanagar,2 BHK,,1050,2.0,2.0,45.0
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Clsto C,1654,3.0,3.0,70.0
